[1616795820.8325493, 1616795823.571416]
[1616795821.0088046, 1616795823.720814]
[1616795821.1655128, 1616795823.8578196]
[1616795820.6794755, 1616795823.4111164]
[1616795821.0889728, 1616795823.89875]
[1616795820.8225644, 1616795823.5834777]
[1616795821.1458936, 1616795823.8635976]
[1616795821.3359618, 1616795823.9985166]
[1616795821.181057, 1616795823.9026284]
[1616795821.4712992, 1616795824.1686137]
[1616795820.9577718, 1616795823.6932564]
[1616795821.1957226, 1616795823.8900402]
[1616795821.2987401, 1616795823.9821234]
[1616795820.8474658, 1616795823.5840042]
[1616795820.8620179, 1616795823.549454]
[1616795820.890582, 1616795823.5833771]
[1616795821.1830792, 1616795823.8829844]
[1616795821.4483674, 1616795824.135634]
[1616795821.1546667, 1616795823.9198892]
[1616795821.0012772, 1616795823.733042]
[1616795821.4915395, 1616795824.1459773]
[1616795821.3337715, 1616795824.0710113]
[1616795821.6388488, 1616795824.365613]
[1616795821.6916964, 1616795824.3953187]
[1616795821.840652, 1616795824.526111]
[1616795821.5428252, 1616795824.2364118]
[1616795821.4727798, 1616795824.124649]
[1616795821.856777, 1616795824.5647402]
[1616795822.2992449, 1616795825.0250692]
[1616795822.4469125, 1616795825.1009076]
[1616795822.1255326, 1616795824.7987888]
[1616795822.2950606, 1616795824.9943411]
[1616795822.2221344, 1616795825.02742]
[1616795822.5162115, 1616795825.1567514]
[1616795822.3011525, 1616795825.0447748]
[1616795822.5221338, 1616795825.2167387]
[1616795823.0627275, 1616795825.747427]
[1616795822.8700259, 1616795825.5674598]
[1616795822.990297, 1616795825.7421353]
[1616795822.8134472, 1616795825.5073113]
[1616795822.761513, 1616795825.4662793]
[1616795823.1980386, 1616795825.885517]
[1616795823.2072577, 1616795825.9125462]
[1616795823.536345, 1616795826.2296839]
[1616795823.0803852, 1616795825.7705965]
[1616795823.7420933, 1616795826.4526756]
[1616795823.472427, 1616795826.2133095]
[1616795823.7400908, 1616795826.4475896]
[1616795823.528541, 1616795826.2511482]
[1616795823.7089086, 1616795826.4446568]
[1616795823.580809, 1616795826.319388]
[1616795823.6335864, 1616795826.3324873]
[1616795824.136644, 1616795826.8001444]
[1616795824.084351, 1616795826.8271606]
[1616795824.191409, 1616795826.891888]
[1616795824.3749952, 1616795827.1034918]
[1616795824.349735, 1616795827.0450013]
[1616795824.613277, 1616795827.3237472]
[1616795824.6781223, 1616795827.3645446]
[1616795824.7274995, 1616795827.4290812]
[1616795824.7607868, 1616795827.4264498]
[1616795824.9288974, 1616795827.598374]
[1616795824.9720075, 1616795827.6667016]
[1616795824.7955177, 1616795827.4893253]
[1616795824.9455013, 1616795827.6104357]
[1616795825.194419, 1616795827.8398862]
[1616795825.1124144, 1616795827.7844176]
[1616795825.0865798, 1616795827.8070254]
[1616795825.4175243, 1616795828.1369927]
[1616795825.3249037, 1616795827.9753182]
[1616795825.3865566, 1616795828.1107893]
[1616795825.3309908, 1616795828.1003394]
[1616795825.6326683, 1616795828.4120085]
[1616795825.5104384, 1616795828.2232838]
[1616795825.5741737, 1616795828.2955167]
[1616795825.60118, 1616795828.3039858]
[1616795825.979789, 1616795828.6733878]
[1616795826.1588898, 1616795828.8732183]
[1616795825.8727543, 1616795828.5644712]
[1616795825.7122247, 1616795828.4383702]
[1616795826.041946, 1616795828.727356]
[1616795826.0835748, 1616795828.8214502]
[1616795826.074931, 1616795828.8181057]
[1616795826.1044817, 1616795828.818169]
[1616795826.0615425, 1616795828.747294]
[1616795826.2691252, 1616795828.9902225]
[1616795826.2842422, 1616795828.982363]
[1616795826.3855755, 1616795829.0931325]
[1616795826.3997662, 1616795829.1289418]
[1616795826.3980222, 1616795829.1977236]
[1616795826.7897358, 1616795829.5174205]
[1616795826.6867373, 1616795829.3752935]
[1616795826.597665, 1616795829.3067827]
[1616795826.6260297, 1616795829.3562534]
[1616795826.5987668, 1616795829.302015]
[1616795826.807241, 1616795829.4666777]
[1616795826.66928, 1616795829.3623621]
[1616795827.0855248, 1616795829.773292]
[1616795827.0119858, 1616795829.7578413]
[1616795826.9239378, 1616795829.628881]
[1616795827.0149403, 1616795829.7168143]
[1616795827.1575766, 1616795829.903088]
[1616795827.201837, 1616795829.9284253]
[1616795827.3700957, 1616795830.0515728]
[1616795827.4508927, 1616795830.1588526]
[1616795827.6207056, 1616795830.2454145]
[1616795827.6502266, 1616795830.341427]
[1616795827.67928, 1616795830.363619]
[1616795827.5391665, 1616795830.2616038]
[1616795827.9362028, 1616795830.6542108]
[1616795827.9498727, 1616795830.6167545]
[1616795827.8540924, 1616795830.5012884]
[1616795828.0286155, 1616795830.6876774]
[1616795828.050651, 1616795830.7532735]
[1616795828.1470308, 1616795830.8341222]
[1616795828.034781, 1616795830.703061]
[1616795828.3445184, 1616795831.0354717]
[1616795828.1847677, 1616795830.8960633]
[1616795828.3149207, 1616795831.0560796]
[1616795828.4865956, 1616795831.2498531]
[1616795828.4016776, 1616795831.1160376]
[1616795828.6747336, 1616795831.3593051]
[1616795828.4589334, 1616795831.194195]
[1616795828.7635064, 1616795831.4687839]
[1616795828.791668, 1616795831.509863]
[1616795828.960953, 1616795831.6764708]
[1616795829.0621278, 1616795831.7585056]
[1616795828.9964013, 1616795831.7228818]
[1616795829.0071394, 1616795831.6918902]
[1616795829.1693645, 1616795831.9606311]
[1616795828.982582, 1616795831.7368581]
[1616795828.9608488, 1616795831.6931145]
[1616795829.270159, 1616795832.0017405]
[1616795829.3631608, 1616795832.1429183]
[1616795829.47758, 1616795832.1489062]
[1616795829.4831488, 1616795832.1669445]
[1616795829.5383525, 1616795832.309575]
[1616795829.7027833, 1616795832.4079962]
[1616795829.8720767, 1616795832.5887182]
[1616795829.7700663, 1616795832.4665663]
[1616795829.8617713, 1616795832.588846]
[1616795829.9536312, 1616795832.6793423]
[1616795829.8008573, 1616795832.4675336]
[1616795829.8666909, 1616795832.5851202]
[1616795830.1344156, 1616795832.862608]
[1616795830.0808146, 1616795832.7604904]
[1616795830.178585, 1616795832.886213]
[1616795830.3380966, 1616795833.0337603]
[1616795830.3955321, 1616795833.0341544]
[1616795830.41868, 1616795833.134987]
[1616795830.3910956, 1616795833.0997493]
[1616795830.3919132, 1616795833.0914366]
[1616795830.4294026, 1616795833.153641]
[1616795830.6723678, 1616795833.3808162]
[1616795830.634021, 1616795833.282258]
[1616795830.7768548, 1616795833.4709477]
[1616795830.549927, 1616795833.196883]
[1616795830.744108, 1616795833.4072282]
[1616795830.954362, 1616795833.649676]
[1616795831.037751, 1616795833.806264]
[1616795831.005177, 1616795833.697492]
[1616795831.1097002, 1616795833.8165584]
[1616795831.0357318, 1616795833.7293007]
[1616795831.158013, 1616795833.8731277]
[1616795831.0213087, 1616795833.6854749]
[1616795831.3567553, 1616795834.072815]
[1616795831.3849306, 1616795834.1074328]
[1616795831.2606933, 1616795834.0428824]
[1616795831.2799807, 1616795833.998379]
[1616795831.3843472, 1616795834.060437]
[1616795831.2874937, 1616795833.9502919]
[1616795831.5230324, 1616795834.2040827]
[1616795831.6036856, 1616795834.2615619]
[1616795831.7885003, 1616795834.5049691]
[1616795831.6089761, 1616795834.294825]
[1616795831.4902947, 1616795834.1931953]
[1616795831.7062445, 1616795834.437191]
[1616795831.8495784, 1616795834.5795085]
[1616795831.7132628, 1616795834.409508]
[1616795831.739188, 1616795834.4638116]
[1616795831.8787346, 1616795834.5825322]
[1616795831.9706492, 1616795834.7751086]
[1616795831.955561, 1616795834.6572478]
[1616795831.8969944, 1616795834.5636191]
[1616795832.061031, 1616795834.7948296]
[1616795832.233216, 1616795834.919177]
[1616795832.2692947, 1616795834.940274]
[1616795832.2219613, 1616795834.9596314]
[1616795832.2205973, 1616795834.896531]
[1616795832.5287154, 1616795835.2285564]
[1616795832.4538, 1616795835.1502025]
[1616795832.1717064, 1616795834.839349]
[1616795832.2342954, 1616795834.9569242]
[1616795832.6149027, 1616795835.3532364]
[1616795832.5373998, 1616795835.2360885]
[1616795832.734858, 1616795835.4519615]
[1616795832.6621232, 1616795835.370659]
[1616795832.660211, 1616795835.3789303]
[1616795832.942345, 1616795835.6130059]
[1616795832.8970096, 1616795835.5879595]
[1616795833.0677335, 1616795835.7656682]
[1616795832.924255, 1616795835.6978614]
[1616795833.13093, 1616795835.8074105]
[1616795833.072114, 1616795835.7216322]
[1616795833.0091581, 1616795835.7683754]
[1616795833.0408487, 1616795835.7135708]
[1616795833.2686942, 1616795835.9792838]
[1616795833.1080458, 1616795835.7855937]
[1616795833.1701083, 1616795835.9737794]
[1616795833.2109442, 1616795835.8641427]
[1616795833.2777967, 1616795836.0254884]
[1616795833.5420902, 1616795836.2648726]
[1616795833.5451515, 1616795836.1811965]
[1616795833.5269032, 1616795836.1935363]
[1616795833.496215, 1616795836.2008111]
[1616795833.9425266, 1616795836.612728]
[1616795833.698665, 1616795836.356411]
[1616795833.7063515, 1616795836.4006715]
[1616795833.8254764, 1616795836.510956]
[1616795833.8685875, 1616795836.6377716]
[1616795834.065382, 1616795836.829611]
[1616795833.9590952, 1616795836.632983]
[1616795833.907772, 1616795836.6215124]
[1616795834.0737948, 1616795836.744572]
[1616795834.1019473, 1616795836.827068]
[1616795834.1424727, 1616795836.8536232]
[1616795834.2095442, 1616795836.9030201]
[1616795834.2126908, 1616795836.893254]
[1616795834.251798, 1616795836.9373603]
[1616795834.1185582, 1616795836.821912]
[1616795834.1972122, 1616795836.9051638]
[1616795834.3818185, 1616795837.0679595]
[1616795834.5067527, 1616795837.2368097]
[1616795834.702506, 1616795837.4072192]
[1616795834.4501226, 1616795837.183508]
[1616795834.6845846, 1616795837.3742673]
[1616795834.70236, 1616795837.4355476]
[1616795834.757972, 1616795837.445677]
[1616795834.7432525, 1616795837.438459]
[1616795834.7246408, 1616795837.3895395]
[1616795834.9665973, 1616795837.6788578]
[1616795834.8476424, 1616795837.5153174]
[1616795835.2061267, 1616795837.8722804]
[1616795835.108546, 1616795837.829576]
[1616795834.958649, 1616795837.6265032]
[1616795834.9005785, 1616795837.642363]
[1616795835.1477902, 1616795837.8430147]
[1616795835.188776, 1616795837.949803]
[1616795835.155848, 1616795837.8579712]
[1616795835.1632583, 1616795837.8366587]
[1616795835.643737, 1616795838.347335]
[1616795835.6217234, 1616795838.2916133]
[1616795835.3096225, 1616795838.0292745]
[1616795835.6484346, 1616795838.3248565]
[1616795835.7211866, 1616795838.4313378]
[1616795835.6826053, 1616795838.4433198]
[1616795835.464643, 1616795838.2042358]
[1616795835.5866768, 1616795838.304195]
[1616795835.662191, 1616795838.3472059]
[1616795835.467808, 1616795838.1750991]
[1616795835.5879455, 1616795838.3050165]
[1616795835.892535, 1616795838.5721858]
[1616795836.0363188, 1616795838.761319]
[1616795835.996285, 1616795838.7166862]
[1616795836.2356246, 1616795838.9188137]
[1616795836.1282725, 1616795838.8832564]
[1616795836.1479847, 1616795838.8214846]
[1616795836.2378159, 1616795838.869458]
[1616795836.3636184, 1616795839.0398896]
[1616795836.3869808, 1616795839.109191]
[1616795836.4441738, 1616795839.1285546]
[1616795836.2501373, 1616795838.9556398]
[1616795836.2316349, 1616795838.9195664]
[1616795836.4876642, 1616795839.2176003]
[1616795836.671762, 1616795839.3489242]
[1616795836.5725973, 1616795839.280443]
[1616795836.4911056, 1616795839.1988704]
[1616795836.7232664, 1616795839.4381697]
[1616795836.657509, 1616795839.4263086]
[1616795836.7917619, 1616795839.467496]
[1616795836.8022673, 1616795839.525641]
[1616795837.0122569, 1616795839.6818244]
[1616795836.9247856, 1616795839.6410842]
[1616795837.0393014, 1616795839.8051517]
[1616795837.0244036, 1616795839.699071]
[1616795837.0766892, 1616795839.7658336]
[1616795837.03435, 1616795839.7494195]
[1616795837.063887, 1616795839.8090127]
[1616795837.382891, 1616795840.0827563]
[1616795836.9870796, 1616795839.6954584]
[1616795837.3321655, 1616795840.0662224]
[1616795837.3412411, 1616795839.9742956]
[1616795837.171666, 1616795839.8738751]
[1616795837.2857049, 1616795840.0123768]
[1616795837.4463043, 1616795840.1265156]
[1616795837.4899573, 1616795840.1723015]
[1616795837.6635408, 1616795840.4176123]
[1616795837.517872, 1616795840.2458715]
[1616795837.6788864, 1616795840.3466442]
[1616795837.7423618, 1616795840.4747958]
[1616795838.0102725, 1616795840.6890109]
[1616795838.0402913, 1616795840.7262084]
[1616795837.916458, 1616795840.6114807]
[1616795837.780828, 1616795840.432189]
[1616795837.9063642, 1616795840.551951]
[1616795838.00951, 1616795840.7452672]
[1616795838.0474205, 1616795840.7283893]
[1616795838.2203114, 1616795840.924993]
[1616795838.2530878, 1616795840.9847655]
[1616795838.3340766, 1616795841.0120428]
[1616795838.1896658, 1616795840.8983178]
[1616795838.362397, 1616795841.0604184]
[1616795838.4209206, 1616795841.1476228]
[1616795838.36603, 1616795841.0618868]
[1616795838.4596503, 1616795841.2171507]
[1616795838.3951862, 1616795841.1121025]
[1616795838.6115117, 1616795841.2785044]
[1616795838.654243, 1616795841.338756]
[1616795838.6794355, 1616795841.346515]
[1616795838.7852082, 1616795841.5340788]
[1616795838.8534327, 1616795841.552722]
[1616795838.8711774, 1616795841.6143916]
[1616795838.787311, 1616795841.4966006]
[1616795838.8630316, 1616795841.5333545]
[1616795838.8451588, 1616795841.52796]
[1616795839.071711, 1616795841.740427]
[1616795838.88008, 1616795841.541142]
[1616795839.094439, 1616795841.7742712]
[1616795839.3729506, 1616795842.0553136]
[1616795839.3006022, 1616795841.9929605]
[1616795839.3425639, 1616795842.024832]
[1616795839.3865042, 1616795842.0970445]
[1616795839.2783854, 1616795842.0058918]
[1616795839.4710329, 1616795842.1848156]
[1616795839.3301892, 1616795842.0178015]
[1616795839.4859874, 1616795842.1446993]
[1616795839.582288, 1616795842.25525]
[1616795839.7441256, 1616795842.4676764]
[1616795839.8453035, 1616795842.5540764]
[1616795839.596813, 1616795842.3531895]
[1616795839.648302, 1616795842.3658717]
[1616795839.8647895, 1616795842.6223335]
[1616795839.9989235, 1616795842.6460848]
[1616795839.8048573, 1616795842.4795296]
[1616795840.1437922, 1616795842.8389063]
[1616795839.8095603, 1616795842.5219603]
[1616795840.1263316, 1616795842.8286169]
[1616795840.1553595, 1616795842.886966]
[1616795840.06766, 1616795842.8131557]
[1616795840.0543795, 1616795842.76349]
[1616795840.3109484, 1616795843.002902]
[1616795840.5009313, 1616795843.2185645]
[1616795840.3366456, 1616795843.0220964]
[1616795840.4981797, 1616795843.2357585]
[1616795840.4788415, 1616795843.2479043]
[1616795840.3075235, 1616795843.0491157]
[1616795840.383262, 1616795843.0244083]
[1616795840.572177, 1616795843.2081335]
[1616795840.4405067, 1616795843.0993016]
[1616795840.4160085, 1616795843.1089938]
[1616795840.6037958, 1616795843.2605975]
[1616795840.7213652, 1616795843.4104347]
[1616795840.9035435, 1616795843.619998]
[1616795840.7556357, 1616795843.5075328]
[1616795840.8367968, 1616795843.5210588]
[1616795840.8382058, 1616795843.5333943]
[1616795840.8482625, 1616795843.5475357]
[1616795840.9554217, 1616795843.6692176]
[1616795840.9683578, 1616795843.6788251]
[1616795841.241495, 1616795844.002596]
[1616795841.1670587, 1616795843.8946679]
[1616795841.4025438, 1616795844.0822425]
[1616795841.412204, 1616795844.0621905]
[1616795841.5126941, 1616795844.232679]
[1616795841.242403, 1616795843.9731426]
[1616795841.4266224, 1616795844.1224766]
[1616795841.275559, 1616795843.9633539]
[1616795841.3519084, 1616795844.0330977]
[1616795841.4226182, 1616795844.1469665]
[1616795841.5865993, 1616795844.2975]
[1616795841.6244247, 1616795844.3584027]
[1616795841.5888731, 1616795844.2640831]
[1616795841.682341, 1616795844.3743875]
[1616795841.6238089, 1616795844.372281]
[1616795841.7752275, 1616795844.461412]
[1616795841.7358885, 1616795844.422533]
[1616795841.8551788, 1616795844.6562498]
[1616795841.8017547, 1616795844.5066278]
[1616795841.8539853, 1616795844.5927973]
[1616795841.9917629, 1616795844.6686409]
[1616795841.899195, 1616795844.6372097]
[1616795842.0151374, 1616795844.7486937]
[1616795842.1097565, 1616795844.834973]
[1616795842.142194, 1616795844.840029]
[1616795842.1636677, 1616795844.818337]
[1616795842.2849617, 1616795844.9701917]
[1616795842.2560542, 1616795844.953748]
[1616795842.2190573, 1616795844.9336987]
[1616795842.1828942, 1616795844.8647294]
[1616795842.288616, 1616795845.0126183]
[1616795842.5352778, 1616795845.256892]
[1616795842.3269122, 1616795845.050418]
[1616795842.5433211, 1616795845.2252567]
[1616795842.5239923, 1616795845.1856372]
[1616795842.5867329, 1616795845.291932]
[1616795842.7072732, 1616795845.4732215]
[1616795842.7016199, 1616795845.3817463]
[1616795842.7246406, 1616795845.4287598]
[1616795842.9646888, 1616795845.666676]
[1616795842.985115, 1616795845.7430124]
[1616795842.9268985, 1616795845.6520667]
[1616795842.9756951, 1616795845.6650574]
[1616795842.8702958, 1616795845.5550835]
[1616795842.786229, 1616795845.5083234]
[1616795843.1590939, 1616795845.8554964]
[1616795843.1623423, 1616795845.825603]
[1616795843.0248437, 1616795845.741799]
[1616795843.1873465, 1616795845.915066]
[1616795843.2799482, 1616795845.9234478]
[1616795843.3808613, 1616795846.139676]
[1616795843.4224432, 1616795846.1065383]
[1616795843.467135, 1616795846.1280158]
[1616795843.4078987, 1616795846.1622024]
[1616795843.4243002, 1616795846.1110306]
[1616795843.602978, 1616795846.309366]
[1616795843.6466572, 1616795846.34829]
[1616795843.5870004, 1616795846.2941513]
[1616795843.8315208, 1616795846.5242248]
[1616795843.8346486, 1616795846.5468023]
[1616795843.74703, 1616795846.4746757]
[1616795843.7945747, 1616795846.498229]
[1616795843.8824081, 1616795846.5559464]
[1616795843.8540623, 1616795846.5415554]
[1616795844.1208918, 1616795846.810461]
[1616795844.012754, 1616795846.7697117]
[1616795844.1002305, 1616795846.7274632]
[1616795844.0951304, 1616795846.7815592]
[1616795844.1380653, 1616795846.821399]
[1616795844.1752298, 1616795846.8872244]
[1616795844.2411776, 1616795846.94596]
[1616795844.342622, 1616795847.0667386]
[1616795844.313119, 1616795847.0309706]
[1616795844.3010595, 1616795846.9816985]
[1616795844.5212185, 1616795847.2112346]
[1616795844.4711955, 1616795847.148395]
