[1616528006.8073578, 1616528007.4489686]
[1616528006.8908346, 1616528007.5521455]
[1616528006.8095682, 1616528008.2565062]
[1616528006.763526, 1616528009.3968072]
[1616528007.1186397, 1616528008.3333187]
[1616528007.1810238, 1616528007.8344893]
[1616528006.8404832, 1616528007.481483]
[1616528006.8670185, 1616528007.530794]
[1616528007.5160937, 1616528009.0295746]
[1616528006.940626, 1616528007.6905415]
[1616528007.1575975, 1616528007.9946156]
[1616528007.138921, 1616528007.7895648]
[1616528006.870632, 1616528007.5969198]
[1616528007.0028527, 1616528007.7293134]
[1616528007.28284, 1616528007.9839408]
[1616528007.5206242, 1616528008.2167099]
[1616528006.8913732, 1616528008.0847352]
[1616528007.1346347, 1616528008.5524118]
[1616528006.9554446, 1616528007.6533437]
[1616528006.568036, 1616528007.294238]
[1616528007.081426, 1616528008.1094403]
[1616528007.64989, 1616528008.3320267]
[1616528007.5936236, 1616528008.2776341]
[1616528007.6857564, 1616528008.3293426]
[1616528007.708644, 1616528008.3543162]
[1616528007.2224097, 1616528007.871379]
[1616528007.7604039, 1616528008.5452843]
[1616528008.4681406, 1616528009.2223043]
[1616528007.7071474, 1616528008.427913]
[1616528007.9956205, 1616528008.7712176]
[1616528008.1654537, 1616528008.9465785]
[1616528008.4058912, 1616528009.1511028]
[1616528008.3963277, 1616528009.0325472]
[1616528008.362079, 1616528009.4423778]
[1616528008.4123049, 1616528009.083446]
[1616528008.7206182, 1616528009.3936796]
[1616528007.9868073, 1616528008.6881094]
[1616528008.479758, 1616528009.171506]
[1616528008.8156767, 1616528009.532109]
[1616528008.7409756, 1616528012.176836]
[1616528008.7465765, 1616528009.4374366]
[1616528008.8360903, 1616528009.5601954]
[1616528008.9944696, 1616528009.7429986]
[1616528009.1057754, 1616528009.8085544]
[1616528009.2769613, 1616528009.965292]
[1616528009.6093225, 1616528010.2818434]
[1616528009.6649735, 1616528010.3567421]
[1616528009.6034994, 1616528010.3271933]
[1616528009.8734593, 1616528010.6617496]
[1616528009.584335, 1616528010.5076075]
[1616528010.0334413, 1616528010.6972709]
[1616528010.0807016, 1616528010.7927709]
[1616528009.4143603, 1616528010.1616216]
[1616528009.863789, 1616528010.5910606]
[1616528010.3789139, 1616528011.9175465]
[1616528010.3572822, 1616528011.0568957]
[1616528010.4292605, 1616528011.1805437]
